id,sex,inr_avg,ing_avg,inb_avg,incolor,totalthroat,innnerthroat,outerthroat,inratio,outratio,totalratio,morph,outr_avg,outg_avg,outb_avg,outcolor,notes,site,sitetype,sex2,date,bltime,svl,mass,morph2,stage,clutch,f1,f2,f3,f4,f5,f6,f7,f8,l,w,trayid,mass.n,mass.c,C.N,ape.n,ape.c,d15N,d13C,paintid,blvol,oxy,droms,blbka,notes,maxrepro,totalcolor,incolorindex,outcolorindex,blotch.area,repro,avgrepro,blcort
1304,m,186,200,189,0.945,101.15,7.06,10.6,0.069797331,0.104794859,0.17459219,yb,222,222,196,1,,Manowar,urban,m,5/5/16,12:11,50,3.9,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.2,B10,69.38440146,221.2118826,3.188207694,0.369536817,1.089730698,8.86037128,-19.13772761,10,46,344.3215339,12.00240653,33.22884013,several toe nails are white; (3/4/5)203,NA,0.170753337,0.065958478,0.104794859,0.4396,NA,NA,4.66
1305,f,0,0,0,NA,84.66,0,4.78,0,0.056461139,0.056461139,oo,232,223,211,1.040358744,,Manowar,urban,f,5/5/16,12:40,50,3.3,orange,mid,4,0.45,0.45,0.48,0.4,NA,NA,NA,NA,NA,NA,C2,105.1119869,355.9315493,3.386212741,0.369403412,1.086021387,8.494623749,-22.48188876,14,30,337.0943953,50.85896003,64.57680251,bite marks on tail; very dull orange,0.45,NA,NA,0.05873984,NA,1.78,0.445,11.012
1310,m,149,164,161,0.981707317,111.14,33.84,4.6,0.304480835,0.041389239,0.345870074,yb,184,176,153,1.045454545,,Browse,rural,m,5/6/16,11:55,52,4.6,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.4,C4,177.6783488,609.8084954,3.432092315,0.367444495,1.085904846,3.126863018,-22.61968343,26,NA,336.0619469,3.025354534,15.98746082,regrown tail,NA,0.342181632,0.298911064,0.043270568,1.1304,NA,NA,16.445
1311,f,0,0,0,NA,86.81,0,2.19,0,0.025227508,0.025227508,oo,199,181,155,1.099447514,,Browse,rural,f,5/6/16,11:55,48,4.2,orange,gravid,4,0.96,0.95,1.05,0.65,NA,NA,NA,NA,NA,NA,C5,163.4093149,562.9840225,3.445238252,0.367233673,1.086263669,2.549338896,-22.29367346,27,NA,335.0294985,22.25560808,52.03761755,bite marks,0.96,NA,NA,0.027736321,NA,3.61,0.9025,67.047
1312,m,148,167,168,1.005988024,102.43,36.56,5.04,0.356926682,0.049204335,0.406131016,yb,213,205,178,1.03902439,,Browse,rural,m,5/6/16,12:10,51,3.9,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.3,C6,169.4824864,560.0192973,3.304290073,0.367307146,1.086061601,2.750586373,-22.4732623,28,NA,330.899705,6.0177052,15.36050157,bite marks/regrowing tail,NA,0.410188472,0.359063968,0.051124504,0.7536,NA,NA,NA
1313,m,143,161,158,0.98136646,104.39,44.23,2.92,0.423699588,0.027972028,0.451671616,ob,219,208,181,1.052884615,,Browse,rural,m,5/6/16,12:10,51,4,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.4,C7,149.4687332,510.4164817,3.414871263,0.367439082,1.086587331,3.112017836,-21.99663215,29,NA,298.8938053,22.60764933,60.18808777,bite marks,NA,0.445255883,0.415804565,0.029451318,1.0048,NA,NA,16.538
1314,f,0,0,0,NA,87.22,0,7.92,0,0.090804861,0.090804861,oo,208,167,130,1.245508982,,Browse,rural,f,5/6/16,12:15,50,4,orange,mid/late,4,0.53,0.62,0.4,0.42,NA,NA,NA,NA,NA,NA,C8,134.6888579,465.0139982,3.452505318,0.367234691,1.086642123,2.552054688,-21.9381204,30,NA,331.9321534,NA,66.14420063,,0.62,NA,NA,0.11309827,NA,1.97,0.4925,NA
1315,m,136,143,134,0.937062937,109.43,3.67,6.65,0.033537421,0.060769442,0.094306863,ob,182,158,128,1.151898734,,Browse,rural,m,5/6/16,12:23,51,4.4,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,C10,149.4910304,501.9927923,3.358012792,0.367737379,1.086007466,3.929376004,-22.50696283,32,NA,340.1917404,13.76261281,42.00626959,regrown tail,NA,0.101426918,0.031426674,0.070000243,0.5652,NA,NA,11.686
1320,f,0,0,0,NA,75.59,0,1.67,0,0.022092869,0.022092869,oo,236,215,184,1.097674419,,Manowar,urban,f,5/5/16,12:34,47,3.4,orange,late,4,0.81,0.68,0.63,0.8,NA,NA,NA,NA,NA,NA,C1,59.5665062,202.6724904,3.402457242,0.369655164,1.08700447,9.184574987,-21.59933991,13,26,349.4837758,8.129952729,39.18495298,bite marks; natural toe loss on 20,0.81,NA,NA,0.024250777,NA,2.92,0.73,55.927
1321,m,120,128,118,0.921875,104.29,10.63,4.16,0.101927318,0.039888772,0.14181609,ob,189,178,153,1.061797753,,Browse,rural,m,5/6/16,12:26,49,4.1,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,C11,120.0249692,400.1898661,3.334221777,0.367790646,1.085486408,4.075313987,-22.94568148,33,NA,289.6017699,6.545767082,59.87460815,bite marks,NA,0.136318055,0.093964246,0.042353808,0.5652,NA,NA,4.484
1322,m,154,168,160,0.952380952,100.81,30.21,2.78,0.299672652,0.027576629,0.327249281,ob,186,179,160,1.039106145,,Browse,rural,m,5/6/16,12:35,51,4.1,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,C12,179.7569936,604.7703734,3.364377437,0.367709312,1.085858284,3.852691304,-22.66073042,34,NA,348.4513274,2.497292651,20.06269592,few bite marks,NA,0.31405757,0.285402526,0.028655045,0.5652,NA,NA,22.431
1323,m,166,176,169,0.960227273,108.65,39.66,12.62,0.365025311,0.116152784,0.481178095,ob,201,175,150,1.148571429,,Browse,rural,m,5/6/16,12:45,48,4.6,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,D1,139.791886,469.8686523,3.361201181,0.367577601,1.087286452,3.491741875,-21.40929276,35,NA,333.9970501,17.10700473,27.5862069,,NA,0.483917028,0.350507259,0.133409769,0.5652,NA,NA,7.878
1324,f,0,0,0,NA,79.38,0,5.04,0,0.063492063,0.063492063,oo,204,166,126,1.228915663,,Browse,rural,f,5/6/16,12:50,48,3.4,orange,late,4,0.78,0.79,0.52,0.52,NA,NA,NA,NA,NA,NA,D2,163.4707107,524.8812325,3.210857959,0.367413716,1.086581319,3.042595908,-22.01223777,36,NA,348.4513274,21.90356682,21.94357367,regrown tail,0.79,NA,NA,0.078026391,NA,2.61,0.6525,26.464
